"   Channel,  Energy(keV),   Counts"
"     827,     176.7431,        106"
"     828,     176.9618,         94"
"     829,     177.1805,        120"
"     830,     177.3992,         96"
"     831,     177.6179,         95"
"     832,     177.8367,        100"
"     833,     178.0554,        103"
"     834,     178.2741,         94"
"     835,     178.4928,        103"
"     836,     178.7115,        110"
"     837,     178.9302,         91"
"     838,     179.1489,        121"
"     839,     179.3677,         87"
"     840,     179.5864,         91"
"     841,     179.8051,         94"
"     842,     180.0238,         90"
"     843,     180.2425,         86"
"     844,     180.4612,        105"
"     845,     180.6800,         87"
"     846,     180.8987,         81"
"     847,     181.1174,        108"
"     848,     181.3361,         89"
"     849,     181.5548,         85"
"     850,     181.7735,         95"
"     851,     181.9923,         99"
"     852,     182.2110,        101"
"     853,     182.4297,        121"
"     854,     182.6484,         82"
"     855,     182.8671,         99"
"     856,     183.0858,         89"
"     857,     183.3045,        115"
"     858,     183.5233,        103"
"     859,     183.7420,         94"
"     860,     183.9607,         79"
"     861,     184.1794,         92"
"     862,     184.3981,        101"
"     863,     184.6168,        101"
"     864,     184.8356,         93"
"     865,     185.0543,         89"
"     866,     185.2730,         92"
"     867,     185.4917,         89"
"     868,     185.7104,         93"
"     869,     185.9291,         98"
"     870,     186.1479,         93"
"     871,     186.3666,        106"
"     872,     186.5853,        105"
"     873,     186.8040,         81"
"     874,     187.0227,         87"
"     875,     187.2414,         87"
"     876,     187.4602,         80"
"     877,     187.6789,         86"
"     878,     187.8976,        108"
"     879,     188.1163,        105"
"     880,     188.3350,         96"
"     881,     188.5537,         95"
"     882,     188.7724,         71"
"     883,     188.9912,        113"
"     884,     189.2099,        107"
"     885,     189.4286,         98"
"     886,     189.6473,        111"
"     887,     189.8660,        111"
"     888,     190.0847,         90"
"     889,     190.3035,        107"
"     890,     190.5222,         76"
"     891,     190.7409,         85"
"     892,     190.9596,         97"
"     893,     191.1783,        100"
"     894,     191.3970,        101"
"     895,     191.6158,         88"
"     896,     191.8345,        106"
"     897,     192.0532,        101"
"     898,     192.2719,         95"
"     899,     192.4906,        109"
"     900,     192.7093,         94"
"     901,     192.9280,         87"
"     902,     193.1468,        110"
"     903,     193.3655,         88"
"     904,     193.5842,        104"
"     905,     193.8029,        112"
"     906,     194.0216,         88"
"     907,     194.2403,        101"
"     908,     194.4591,         93"
"     909,     194.6778,         91"
"     910,     194.8965,        102"
"     911,     195.1152,        105"
"     912,     195.3339,         88"
"     913,     195.5526,        103"
"     914,     195.7714,         96"
"     915,     195.9901,         82"
"     916,     196.2088,        116"
"     917,     196.4275,         99"
"     918,     196.6462,        100"
"     919,     196.8649,        107"
"     920,     197.0836,        109"
"     921,     197.3024,         70"
"     922,     197.5211,         99"
"     923,     197.7398,        103"
"     924,     197.9585,         83"
"     925,     198.1772,        102"
"     926,     198.3959,        111"
"     927,     198.6147,         86"
"     928,     198.8334,        109"
"     929,     199.0521,        104"
"     930,     199.2708,        112"
"     931,     199.4895,         96"
"     932,     199.7082,         98"
"     933,     199.9270,         98"
"     934,     200.1457,         86"
"     935,     200.3644,         87"
"     936,     200.5831,        105"
"     937,     200.8018,         86"
"     938,     201.0205,         95"
"     939,     201.2392,         94"
"     940,     201.4580,         95"
"     941,     201.6767,        102"
"     942,     201.8954,         92"
"     943,     202.1141,        103"
"     944,     202.3328,        102"
"     945,     202.5515,        108"
"     946,     202.7703,         95"
"     947,     202.9890,        100"
"     948,     203.2077,         92"
"     949,     203.4264,        109"
"     950,     203.6451,        132"
"     951,     203.8638,         83"
"     952,     204.0826,        100"
"     953,     204.3013,        104"
"     954,     204.5200,        116"
"     955,     204.7387,        102"
"     956,     204.9574,         95"
"     957,     205.1761,        109"
"     958,     205.3948,        103"
"     959,     205.6136,        103"
"     960,     205.8323,        112"
"     961,     206.0510,        105"
"     962,     206.2697,        112"
"     963,     206.4884,        121"
"     964,     206.7071,         88"
"     965,     206.9259,        128"
"     966,     207.1446,        108"
"     967,     207.3633,        105"
"     968,     207.5820,        107"
"     969,     207.8007,        118"
"     970,     208.0194,        131"
"     971,     208.2382,        111"
"     972,     208.4569,        110"
"     973,     208.6756,        110"
"     974,     208.8943,        115"
"     975,     209.1130,        102"
"     976,     209.3317,         88"
"     977,     209.5504,        108"
"     978,     209.7692,        117"
"     979,     209.9879,        124"
"     980,     210.2066,        117"
"     981,     210.4253,        104"
"     982,     210.6440,        105"
"     983,     210.8627,        101"
"     984,     211.0815,        116"
"     985,     211.3002,        120"
"     986,     211.5189,        106"
"     987,     211.7376,         90"
"     988,     211.9563,        110"
"     989,     212.1750,        119"
"     990,     212.3938,        106"
"     991,     212.6125,        126"
