Channel,Energy,Counts
     672,     142.8421,         20
     673,     143.0608,         13
     674,     143.2796,          8
     675,     143.4983,         17
     676,     143.7170,         10
     677,     143.9357,         10
     678,     144.1544,         14
     679,     144.3731,          9
     680,     144.5919,         19
     681,     144.8106,         13
     682,     145.0293,         17
     683,     145.2480,         17
     684,     145.4667,         12
     685,     145.6854,          8
     686,     145.9041,         18
     687,     146.1229,         20
     688,     146.3416,         12
     689,     146.5603,         12
     690,     146.7790,         13
     691,     146.9977,         14
     692,     147.2164,         15
     693,     147.4352,         13
     694,     147.6539,         13
     695,     147.8726,         19
     696,     148.0913,         15
     697,     148.3100,         10
     698,     148.5287,         20
     699,     148.7475,         14
     700,     148.9662,         11
     701,     149.1849,         16
     702,     149.4036,         16
     703,     149.6223,         20
     704,     149.8410,         11
     705,     150.0597,          9
     706,     150.2785,          8
     707,     150.4972,         14
     708,     150.7159,         17
     709,     150.9346,         18
     710,     151.1533,         15
     711,     151.3720,          7
     712,     151.5908,         12
     713,     151.8095,         11
     714,     152.0282,         14
     715,     152.2469,         13
     716,     152.4656,         13
     717,     152.6843,         26
     718,     152.9031,         18
     719,     153.1218,         12
     720,     153.3405,          8
     721,     153.5592,          7
     722,     153.7779,         19
     723,     153.9966,         16
     724,     154.2153,         16
     725,     154.4341,         15
     726,     154.6528,          7
     727,     154.8715,         16
     728,     155.0902,         13
     729,     155.3089,         18
     730,     155.5276,         14
     731,     155.7464,         10
     732,     155.9651,          9
     733,     156.1838,         14
     734,     156.4025,         14
     735,     156.6212,         18
     736,     156.8399,         11
     737,     157.0587,         10
     738,     157.2774,         13
     739,     157.4961,         14
     740,     157.7148,         18
     741,     157.9335,         16
     742,     158.1522,         10
     743,     158.3709,         13
     744,     158.5897,         14
     745,     158.8084,         14
     746,     159.0271,         12
     747,     159.2458,         13
     748,     159.4645,         15
     749,     159.6832,         18
     750,     159.9020,         10
     751,     160.1207,         14
     752,     160.3394,          9
     753,     160.5581,         19
     754,     160.7768,         17
     755,     160.9955,         11
     756,     161.2143,         13
     757,     161.4330,         16
     758,     161.6517,         11
     759,     161.8704,         11
     760,     162.0891,         12
     761,     162.3078,         19
     762,     162.5265,         19
     763,     162.7453,         10
     764,     162.9640,         12
     765,     163.1827,         15
     766,     163.4014,         14
     767,     163.6201,         17
     768,     163.8388,         14
     769,     164.0576,         14
     770,     164.2763,         14
     771,     164.4950,         16
     772,     164.7137,          9
