Channel,Energy,Counts
      929,     199.0521,         60 
      930,     199.2708,         67 
      931,     199.4895,         57 
      932,     199.7082,         51 
      933,     199.9270,         59 
      934,     200.1457,         57 
      935,     200.3644,         56 
      936,     200.5831,         51 
      937,     200.8018,         43 
      938,     201.0205,         59 
      939,     201.2392,         66 
      940,     201.4580,         42 
      941,     201.6767,         54 
      942,     201.8954,         47 
      943,     202.1141,         38 
      944,     202.3328,         49 
      945,     202.5515,         70 
      946,     202.7703,         70 
      947,     202.9890,         63 
      948,     203.2077,         73 
      949,     203.4264,         62 
      950,     203.6451,         54 
      951,     203.8638,         57 
      952,     204.0826,         43 
      953,     204.3013,         40 
      954,     204.5200,         56 
      955,     204.7387,         69 
      956,     204.9574,         60 
      957,     205.1761,         54 
      958,     205.3948,         51 
      959,     205.6136,         64 
      960,     205.8323,         57 
      961,     206.0510,         55 
      962,     206.2697,         57 
      963,     206.4884,         49 
      964,     206.7071,         65 
      965,     206.9259,         59 
      966,     207.1446,         63 
      967,     207.3633,         47 
      968,     207.5820,         66 
      969,     207.8007,         54 
      970,     208.0194,         48 
      971,     208.2382,         57 
      972,     208.4569,         47 
      973,     208.6756,         57 
      974,     208.8943,         53 
      975,     209.1130,         41 
      976,     209.3317,         62 
      977,     209.5504,         47 
      978,     209.7692,         68 
      979,     209.9879,         64 
      980,     210.2066,         60 
      981,     210.4253,         58 
      982,     210.6440,         63 
      983,     210.8627,         61 
      984,     211.0815,         66 
      985,     211.3002,         55 
      986,     211.5189,         54 
      987,     211.7376,         62 
      988,     211.9563,         61 
      989,     212.1750,         65 
      990,     212.3938,         53 
      991,     212.6125,         63 
      992,     212.8312,         54 
      993,     213.0499,         71 
      994,     213.2686,         63 
      995,     213.4873,         73 
      996,     213.7060,         57 
      997,     213.9248,         67 
      998,     214.1435,         61 
      999,     214.3622,         50 
     1000,     214.5809,         47 
     1001,     214.7996,         69 
     1002,     215.0183,         50 
     1003,     215.2371,         50 
     1004,     215.4558,         61 
     1005,     215.6745,         64 
     1006,     215.8932,         47 
     1007,     216.1119,         63 
     1008,     216.3306,         50 
     1009,     216.5494,         65 
     1010,     216.7681,         64 
     1011,     216.9868,         61 
     1012,     217.2055,         56 
     1013,     217.4242,         63 
     1014,     217.6429,         45 
     1015,     217.8616,         69 
     1016,     218.0804,         48 
     1017,     218.2991,         60 
     1018,     218.5178,         57 
     1019,     218.7365,         56 
     1020,     218.9552,         52 
     1021,     219.1739,         57 
     1022,     219.3927,         60 
     1023,     219.6114,         62 
     1024,     219.8301,         62 
     1025,     220.0488,         64 
     1026,     220.2675,         59 
     1027,     220.4862,         44 
     1028,     220.7050,         63 
     1029,     220.9237,         52 
     1030,     221.1424,         72 
     1031,     221.3611,         49 
     1032,     221.5798,         59 
     1033,     221.7985,         45 
     1034,     222.0172,         49 
     1035,     222.2360,         62 
     1036,     222.4547,         42 
     1037,     222.6734,         71 
     1038,     222.8921,         53 
     1039,     223.1108,         61 
     1040,     223.3295,         63 
     1041,     223.5483,         60 
     1042,     223.7670,         60 
     1043,     223.9857,         50 
     1044,     224.2044,         68 
     1045,     224.4231,         55 
     1046,     224.6418,         48 
     1047,     224.8606,         63 
     1048,     225.0793,         50 
     1049,     225.2980,         64 
     1050,     225.5167,         81 
     1051,     225.7354,         65 
     1052,     225.9541,         54 
     1053,     226.1728,         58 
     1054,     226.3916,         55 
     1055,     226.6103,         65 
     1056,     226.8290,         56 
     1057,     227.0477,         53 
     1058,     227.2664,         49 
     1059,     227.4851,         43 
     1060,     227.7039,         56 
     1061,     227.9226,         46 
     1062,     228.1413,         67 
     1063,     228.3600,         46 
     1064,     228.5787,         55 
     1065,     228.7974,         57 
